0,1,2,3,4,5,6,7,8,9,10,11,12,13
Very high human development,,,,,,,,,,,,,
1,Switzerland,0.967,0.891,7.9,0.971,2,0.018,3,..,..,..,0.826,14.6
2,Norway,0.966,0.903,6.5,0.986,1,0.012,2,..,..,..,0.808,16.4
3,Iceland,0.959,0.910,5.1,0.975,1,0.039,9,..,..,..,0.806,16.0
4,"Hong Kong, China (SAR)",0.956,0.840,12.1,0.972,2,..,..,..,..,..,..,..
5,Denmark,0.952,0.898,5.7,0.981,1,0.009,1,..,..,..,0.839,11.9
5,Sweden,0.952,0.878,7.8,0.983,1,0.023,4,..,..,..,0.839,11.9
7,Germany,0.950,0.881,7.3,0.966,2,0.071,19,..,..,..,0.833,12.3
7,Ireland,0.950,0.886,6.7,0.991,1,0.072,20,..,..,..,0.814,14.3
9,Singapore,0.949,0.825,13.1,0.991,1,0.036,8,..,..,..,0.745,21.5
10,Australia,0.946,0.860,9.1,0.978,1,0.063,17,..,..,..,0.763,19.3
10,Netherlands,0.946,0.885,6.4,0.960,2,0.025,5,..,..,..,0.796,15.9
12,Belgium,0.942,0.878,6.8,0.975,1,0.044,11,..,..,..,0.803,14.8
12,Finland,0.942,0.886,5.9,0.989,1,0.032,6,..,..,..,0.787,16.5
12,Liechtenstein,0.942,..,..,0.949,3,..,..,..,..,..,..,..
15,United Kingdom,0.940,0.865,8.0,0.976,1,0.094,28,..,..,..,0.846,10.0
16,New Zealand,0.939,0.856,8.8,0.970,2,0.082,23,..,..,..,0.814,13.3
17,United Arab Emirates,0.937,0.859,8.3,0.986,1,0.035,7,..,..,..,0.688,26.6
18,Canada,0.935,0.864,7.6,0.988,1,0.069,18,..,..,..,0.726,22.4
19,Korea (Republic of),0.929,0.841,9.5,0.948,3,0.062,16,..,..,..,0.775,16.6
20,Luxembourg,0.927,0.839,9.5,0.993,1,0.043,10,..,..,..,0.685,26.1
20,United States,0.927,0.823,11.2,1.005,1,0.180,44,..,..,..,0.740,20.2
22,Austria,0.926,0.859,7.2,0.972,2,0.048,12,..,..,..,0.789,14.8
22,Slovenia,0.926,0.882,4.8,0.999,1,0.049,13,..,..,..,0.832,10.2
24,Japan,0.920,0.844,8.3,0.968,2,0.078,22,..,..,..,0.809,12.1
25,Israel,0.915,0.808,11.7,0.991,1,0.092,26,..,..,..,0.780,14.8
25,Malta,0.915,0.837,8.5,0.980,1,0.117,35,..,..,..,0.806,11.9
27,Spain,0.911,0.796,12.6,0.988,1,0.059,15,..,..,..,0.839,7.9
28,France,0.910,0.820,9.9,0.986,1,0.084,24,..,..,..,0.823,9.6
29,Cyprus,0.907,0.827,8.8,0.977,1,0.253,62,..,..,..,0.803,11.5
30,Italy,0.906,0.802,11.5,0.969,2,0.057,14,..,..,..,0.825,8.9
31,Estonia,0.899,0.835,7.1,1.022,1,0.093,27,..,..,..,0.766,14.8
32,Czechia,0.895,0.848,5.3,0.988,1,0.113,32,..,..,..,0.782,12.6
33,Greece,0.893,0.801,10.3,0.969,2,0.120,37,..,..,..,0.809,9.4
34,Bahrain,0.888,..,..,0.937,3,0.181,45,..,..,..,0.673,24.2
35,Andorra,0.884,0.810,8.4,..,..,..,..,..,..,..,..,..
36,Poland,0.881,0.797,9.5,1.009,1,0.105,31,..,..,..,0.780,11.5
37,Latvia,0.879,0.802,8.8,1.022,1,0.142,39,..,..,..,0.782,11.0
37,Lithuania,0.879,0.795,9.6,1.028,2,0.098,30,..,..,..,0.748,14.9
39,Croatia,0.878,0.817,6.9,0.993,1,0.087,25,..,..,..,0.807,8.1
40,Qatar,0.875,..,..,1.027,2,0.212,54,..,..,..,0.450,48.6
40,Saudi Arabia,0.875,..,..,0.928,3,0.229,55,..,..,..,0.690,21.1
42,Portugal,0.874,0.774,11.4,0.998,1,0.076,21,..,..,..,0.807,7.7
43,San Marino,0.867,..,..,0.966,2,..,..,..,..,..,..,..
44,Chile,0.860,0.704,18.1,0.973,2,0.190,49,..,..,..,0.786,8.6
45,Slovakia,0.855,0.808,5.5,1.002,1,0.184,46,..,..,..,0.776,9.2
45,Türkiye,0.855,0.717,16.1,0.941,3,0.259,63,..,..,..,0.783,8.4
47,Hungary,0.851,0.800,6.0,0.989,1,0.230,56,..,..,..,0.769,9.6
48,Argentina,0.849,0.747,12.0,0.995,1,0.292,71,0.001,0.4,34.0,0.782,7.9
49,Kuwait,0.847,..,..,1.014,1,0.199,51,..,..,..,0.580,31.5
50,Montenegro,0.844,0.756,10.4,0.978,1,0.114,33,0.005,1.2,39.6,..,..
51,Saint Kitts and Nevis,0.838,..,..,..,..,..,..,..,..,..,..,..
52,Uruguay,0.830,0.720,13.3,1.020,1,0.240,60,..,..,..,0.784,5.5
53,Romania,0.827,0.739,10.6,0.981,1,0.230,56,..,..,..,0.759,8.2
54,Antigua and Barbuda,0.826,..,..,..,..,..,..,..,..,..,..,..
55,Brunei Darussalam,0.823,0.727,11.7,0.983,1,0.279,68,..,..,..,0.576,30.0
56,Russian Federation,0.821,0.747,9.0,1.021,1,0.178,43,..,..,..,0.725,11.7
57,Bahamas,0.820,0.663,19.1,1.007,1,0.333,79,..,..,..,0.744,9.3
57,Panama,0.820,0.647,21.1,1.017,1,0.392,95,..,..,..,0.773,5.7
59,Oman,0.819,0.721,12.0,0.937,3,0.267,66,..,..,..,0.593,27.6
60,Georgia,0.814,0.728,10.6,1.005,1,0.283,69,0.001,0.3,36.6,0.767,5.8
60,Trinidad and Tobago,0.814,..,..,0.992,1,0.264,64,0.002,0.6,38.0,..,..
62,Barbados,0.809,0.617,23.7,1.030,2,0.289,70,0.009,2.5,34.2,..,..
63,Malaysia,0.807,0.692,14.3,0.973,2,0.202,52,..,..,..,0.704,12.8
64,Costa Rica,0.806,0.656,18.6,0.995,1,0.232,58,0.002,0.5,37.1,0.763,5.3
65,Serbia,0.805,0.740,8.1,0.986,1,0.119,36,0.000,0.1,38.1,0.732,9.1
66,Thailand,0.803,0.681,15.2,1.011,1,0.310,74,0.002,0.6,36.7,0.750,6.6
67,Kazakhstan,0.802,0.734,8.5,0.998,1,0.177,42,0.002,0.5,35.6,0.688,14.2
67,Seychelles,0.802,0.715,10.8,1.064,3,..,..,0.003,0.9,34.2,..,..
69,Belarus,0.801,0.750,6.4,1.003,1,0.096,29,..,..,..,..,..
High human development,,,,,,,,,,,,,
70,Bulgaria,0.799,0.703,12.0,0.995,1,0.206,53,..,..,..,0.720,9.9
71,Palau,0.797,0.633,20.6,1.007,1,..,..,..,..,..,..,..
72,Mauritius,0.796,0.625,21.5,0.976,1,0.369,87,..,..,..,..,..
73,Grenada,0.793,..,..,0.976,1,..,..,..,..,..,..,..
74,Albania,0.789,0.687,12.9,0.977,1,0.116,34,0.003,0.7,39.1,0.747,5.3
75,China,0.788,0.662,16.0,0.962,2,0.186,47,0.016,3.9,41.4,0.679,13.8
76,Armenia,0.786,0.721,8.3,1.026,2,0.198,50,0.001,0.2,36.2,0.752,4.3
77,Mexico,0.781,0.641,17.9,0.979,1,0.352,84,0.016,4.1,40.5,0.734,6.0
78,Iran (Islamic Republic of),0.780,0.584,25.1,0.880,5,0.484,121,..,..,..,0.715,8.3
78,Sri Lanka,0.780,0.630,19.2,0.947,3,0.376,90,0.011,2.9,38.3,0.762,2.3
80,Bosnia and Herzegovina,0.779,0.667,14.4,0.952,2,0.148,40,0.008,2.2,37.9,0.710,8.9
81,Saint Vincent and the Grenadines,0.772,..,..,..,..,..,..,..,..,..,..,..
82,Dominican Republic,0.766,0.627,18.1,1.029,2,0.433,107,0.009,2.3,38.8,0.732,4.4
83,Ecuador,0.765,0.630,17.6,0.990,1,0.371,89,0.008,2.1,38.0,0.733,4.2
83,North Macedonia,0.765,0.679,11.2,0.950,2,0.134,38,0.001,0.4,38.2,0.715,6.5
85,Cuba,0.764,..,..,0.973,2,0.300,73,0.003,0.7,38.1,0.740,3.1
86,Moldova (Republic of),0.763,0.698,8.5,1.033,2,0.156,41,0.004,0.9,37.4,0.731,4.2
87,Maldives,0.762,0.597,21.7,0.976,1,0.328,76,0.003,0.8,34.4,..,..
87,Peru,0.762,0.607,20.3,0.952,2,0.360,85,0.026,6.6,38.9,0.733,3.8
89,Azerbaijan,0.760,0.707,7.0,0.961,2,0.329,77,..,..,..,0.719,5.4
89,Brazil,0.760,0.577,24.1,1.000,1,0.391,94,0.016,3.8,42.5,0.702,7.6
91,Colombia,0.758,0.568,25.1,0.998,1,0.392,95,0.020,4.8,40.6,0.725,4.4
92,Libya,0.746,..,..,0.988,1,0.266,65,0.007,2.0,37.1,0.661,11.4
93,Algeria,0.745,0.588,21.1,0.881,5,0.460,114,0.005,1.4,39.2,0.702,5.8
94,Turkmenistan,0.744,..,..,..,..,..,..,0.001,0.2,34.0,0.662,11.0
95,Guyana,0.742,..,..,0.992,1,0.416,104,0.007,1.8,39.3,..,..
96,Mongolia,0.741,0.645,13.0,1.032,2,0.297,72,0.028,7.3,38.8,0.619,16.5
97,Dominica,0.740,..,..,..,..,..,..,..,..,..,..,..
98,Tonga,0.739,0.654,11.5,0.996,1,0.462,115,0.003,0.9,38.1,..,..
99,Jordan,0.736,0.615,16.4,0.863,5,0.449,111,0.002,0.4,35.4,0.706,4.1
100,Ukraine,0.734,0.676,7.9,1.021,1,0.188,48,0.001,0.2,34.4,0.685,6.7
101,Tunisia,0.732,0.574,21.6,0.928,3,0.237,59,0.003,0.8,36.5,0.701,4.2
102,Marshall Islands,0.731,0.620,15.2,0.945,3,..,..,..,..,..,..,..
102,Paraguay,0.731,0.582,20.4,0.994,1,0.429,106,0.019,4.5,41.9,0.684,6.4
104,Fiji,0.729,0.632,13.3,0.940,3,0.332,78,0.006,1.5,38.1,..,..
105,Egypt,0.728,0.561,22.9,0.884,5,0.389,93,0.020,5.2,37.6,0.695,4.5
106,Uzbekistan,0.727,..,..,0.924,4,0.242,61,0.006,1.7,35.3,0.696,4.3
107,Viet Nam,0.726,0.607,16.4,1.007,1,0.378,91,0.008,1.9,40.3,0.681,6.2
108,Saint Lucia,0.725,0.539,25.7,1.013,1,0.347,82,0.007,1.9,37.5,..,..
109,Lebanon,0.723,..,..,0.928,3,0.365,86,..,..,..,0.680,5.9
110,South Africa,0.717,0.462,35.6,0.985,1,0.401,99,0.025,6.3,39.8,0.667,7.0
111,"Palestine, State of",0.716,0.587,18.0,0.880,5,..,..,0.002,0.6,35.0,0.695,2.9
112,Indonesia,0.713,0.588,17.5,0.940,3,0.439,109,0.014,3.6,38.7,0.685,3.9
113,Philippines,0.710,0.590,16.9,0.966,2,0.388,92,0.024,5.8,41.8,0.687,3.2
114,Botswana,0.708,0.488,31.1,0.998,1,0.483,120,0.073,17.2,42.2,0.677,4.4
115,Jamaica,0.706,0.584,17.3,1.016,1,0.350,83,0.011,2.8,38.9,0.676,4.2
116,Samoa,0.702,0.602,14.2,0.968,2,0.406,101,0.025,6.3,39.1,..,..
117,Kyrgyzstan,0.701,0.634,9.6,0.975,1,0.345,81,0.001,0.4,36.3,0.683,2.6
118,Belize,0.700,..,..,0.982,1,0.454,113,0.017,4.3,39.8,0.668,4.6
Medium human development,,,,,,,,,,,,,
119,Venezuela (Bolivarian Republic of),0.699,0.600,14.2,1.002,1,0.521,134,..,..,..,0.664,5.0
120,Bolivia (Plurinational State of),0.698,0.560,19.8,0.965,2,0.418,105,0.038,9.1,41.7,0.662,5.2
120,Morocco,0.698,0.508,27.2,0.851,5,0.440,110,0.027,6.4,42.0,0.672,3.7
122,Nauru,0.696,..,..,1.037,2,..,..,..,..,..,..,..
123,Gabon,0.693,0.526,24.1,0.982,1,0.524,136,0.070,15.6,44.7,0.667,3.8
124,Suriname,0.690,..,..,0.987,1,0.405,100,0.011,2.9,39.4,..,..
125,Bhutan,0.681,0.465,31.7,0.970,2,0.334,80,..,..,..,0.615,9.7
126,Tajikistan,0.679,0.585,13.8,0.919,4,0.269,67,0.029,7.4,39.0,0.664,2.2
127,El Salvador,0.674,0.548,18.7,0.972,2,0.369,87,0.032,7.9,41.3,0.649,3.7
128,Iraq,0.673,0.519,22.9,0.786,5,0.562,143,0.033,8.6,37.9,0.643,4.5
129,Bangladesh,0.670,0.470,29.9,0.914,4,0.498,127,0.104,24.6,42.2,0.656,2.1
130,Nicaragua,0.669,0.507,24.2,0.949,3,0.397,97,0.074,16.5,45.3,0.642,4.0
131,Cabo Verde,0.661,0.471,28.7,0.981,1,0.325,75,..,..,..,..,..
132,Tuvalu,0.653,0.545,16.5,0.975,1,..,..,0.008,2.1,38.2,..,..
133,Equatorial Guinea,0.650,..,..,..,..,..,..,..,..,..,0.624,4.0
134,India,0.644,0.444,31.1,0.852,5,0.437,108,0.069,16.4,42.0,0.625,3.0
135,Micronesia (Federated States of),0.634,..,..,0.950,2,..,..,..,..,..,..,..
136,Guatemala,0.629,0.453,28.0,0.931,3,0.474,117,0.134,28.9,46.2,0.604,4.0
137,Kiribati,0.628,0.528,15.9,0.849,5,..,..,0.080,19.8,40.5,..,..
138,Honduras,0.624,0.480,23.1,0.974,2,0.413,102,0.051,12.0,42.7,0.606,2.9
139,Lao People's Democratic Republic,0.620,0.466,24.8,0.919,4,0.467,116,0.108,23.1,47.0,0.580,6.5
140,Vanuatu,0.614,..,..,0.936,3,..,..,..,..,..,..,..
141,Sao Tome and Principe,0.613,0.459,25.1,..,..,..,..,0.048,11.7,40.9,..,..
142,Eswatini (Kingdom of),0.610,0.372,39.0,0.987,1,0.491,124,0.081,19.2,42.3,..,..
142,Namibia,0.610,0.399,34.6,1.006,1,0.450,112,0.185,40.9,45.2,0.584,4.3
144,Myanmar,0.608,0.475,21.9,0.941,3,0.479,119,0.176,38.3,45.9,0.596,2.0
145,Ghana,0.602,0.378,37.2,0.933,3,0.512,130,0.111,24.6,45.1,0.586,2.7
146,Kenya,0.601,0.438,27.1,0.948,3,0.533,139,0.171,37.5,45.6,0.590,1.8
146,Nepal,0.601,0.424,29.5,0.885,5,0.495,126,0.074,17.5,42.5,0.581,3.3
148,Cambodia,0.600,0.438,27.0,0.926,3,0.486,122,0.070,16.6,42.3,0.572,4.7
149,Congo,0.593,0.385,35.1,0.909,4,0.572,144,0.112,24.3,46.0,0.580,2.2
150,Angola,0.591,0.344,41.8,0.905,4,0.520,133,0.282,51.1,55.3,0.581,1.7
151,Cameroon,0.587,0.362,38.3,0.900,4,0.555,142,0.232,43.6,53.2,0.577,1.7
152,Comoros,0.586,0.334,43.0,0.914,4,..,..,0.181,37.3,48.5,..,..
153,Zambia,0.569,0.344,39.5,0.930,3,0.526,137,0.232,47.9,48.4,0.561,1.4
154,Papua New Guinea,0.568,0.407,28.3,0.927,3,0.604,151,0.263,56.6,46.5,0.558,1.8
155,Timor-Leste,0.566,0.407,28.1,0.904,4,0.415,103,0.222,48.3,45.9,..,..
156,Solomon Islands,0.562,..,..,0.959,2,..,..,..,..,..,..,..
157,Syrian Arab Republic,0.557,..,..,0.805,5,0.487,123,..,..,..,..,..
158,Haiti,0.552,0.335,39.3,0.929,3,0.621,158,0.200,41.3,48.4,0.546,1.1
159,Uganda,0.550,0.377,31.5,0.899,5,0.527,138,0.281,57.2,49.2,0.543,1.3
159,Zimbabwe,0.550,0.370,32.7,0.936,3,0.519,132,0.110,25.8,42.6,0.541,1.6
Low human development,,,,,,,,,,,,,
161,Nigeria,0.548,0.369,32.7,0.886,5,0.677,165,0.175,33.0,52.9,0.539,1.6
161,Rwanda,0.548,0.377,31.2,0.921,4,0.400,98,0.231,48.8,47.3,0.541,1.3
163,Togo,0.547,0.345,36.9,0.848,5,0.578,147,0.180,37.6,47.8,0.541,1.1
164,Mauritania,0.540,0.351,35.0,0.874,5,0.603,150,0.327,58.4,56.0,0.520,3.7
164,Pakistan,0.540,0.360,33.3,0.834,5,0.522,135,0.198,38.3,51.7,0.528,2.2
166,Côte d'Ivoire,0.534,0.318,40.4,0.861,5,0.612,156,0.236,46.1,51.2,..,..
167,Tanzania (United Republic of),0.532,0.372,30.1,0.940,3,0.513,131,0.284,57.1,49.8,0.525,1.3
168,Lesotho,0.521,0.332,36.3,0.999,1,0.552,141,0.084,19.6,43.0,..,..
169,Senegal,0.517,0.334,35.4,0.925,3,0.505,129,0.263,50.8,51.7,0.503,2.7
170,Sudan,0.516,0.331,35.9,0.868,5,0.548,140,0.279,52.3,53.4,0.506,1.9
171,Djibouti,0.515,0.341,33.8,0.844,5,..,..,..,..,..,0.493,4.3
172,Malawi,0.508,0.359,29.3,0.926,3,0.579,148,0.231,49.9,46.3,0.501,1.4
173,Benin,0.504,0.309,38.7,0.848,5,0.649,160,0.368,66.8,55.0,0.494,2.0
174,Gambia,0.495,0.311,37.2,0.940,3,0.585,149,0.198,41.7,47.5,0.489,1.2
175,Eritrea,0.493,..,..,..,..,..,..,..,..,..,0.487,1.2
176,Ethiopia,0.492,0.324,34.1,0.922,4,0.494,125,0.367,68.7,53.3,0.485,1.4
177,Liberia,0.487,0.310,36.3,0.860,5,0.656,161,0.259,52.3,49.6,0.482,1.0
177,Madagascar,0.487,0.328,32.6,0.945,3,0.574,145,0.386,68.4,56.4,0.483,0.8
179,Guinea-Bissau,0.483,0.310,35.8,0.862,5,0.631,159,0.341,64.4,52.9,..,..
180,Congo (Democratic Republic of the),0.481,0.315,34.5,0.891,5,0.605,152,0.331,64.5,51.3,0.477,0.8
181,Guinea,0.471,0.285,39.5,0.818,5,0.609,154,0.373,66.2,56.4,0.462,1.9
182,Afghanistan,0.462,0.300,35.1,0.622,5,0.665,162,0.272,55.9,48.6,0.459,0.6
183,Mozambique,0.461,0.270,41.4,0.929,3,0.477,118,0.372,61.9,60.0,0.456,1.1
184,Sierra Leone,0.458,0.277,39.5,0.885,5,0.613,157,0.293,59.2,49.5,0.452,1.3
185,Burkina Faso,0.438,0.261,40.4,0.881,5,0.577,146,..,..,..,0.433,1.1
186,Yemen,0.424,0.285,32.8,0.456,5,0.820,166,0.245,48.5,50.6,0.420,0.9
187,Burundi,0.420,0.273,35.0,0.926,3,0.499,128,0.409,75.1,54.4,0.417,0.7
188,Mali,0.410,0.277,32.4,0.830,5,0.607,153,0.376,68.3,55.0,0.404,1.5
189,Chad,0.394,0.238,39.6,0.776,5,0.671,163,0.517,84.2,61.4,0.382,3.0
189,Niger,0.394,0.262,33.5,0.826,5,0.609,154,0.601,91.0,66.1,0.389,1.3
191,Central African Republic,0.387,0.237,38.8,..,..,..,..,0.461,80.4,57.4,0.383,1.0
192,South Sudan,0.381,0.222,41.7,..,..,..,..,..,..,..,0.376,1.3
193,Somalia,0.380,..,..,0.769,5,0.674,164,..,..,..,0.376,1.1
Other countries or territories,,,,,,,,,,,,,
..,Korea (Democratic People’s Rep. of),..,..,..,..,..,..,..,..,..,..,..,..
..,Monaco,..,..,..,..,..,..,..,..,..,..,..,..
Human development groups,,,,,,,,,,,,,
,Very high human development,0.902,0.807,10.5,0.988,—,0.150,—,0.002,0.5,35.9,0.779,13.6
,High human development,0.764,0.628,17.8,0.962,—,0.339,—,0.016,3.8,40.7,0.691,9.6
,Medium human development,0.640,0.447,30.2,0.870,—,0.476,—,0.091,20.5,44.1,0.622,2.8
,Low human development,0.517,0.341,34.0,0.868,—,0.579,—,0.274,51.6,53.2,0.509,1.5
Developing countries,,0.694,0.524,24.5,0.929,—,0.485,—,0.088,18.2,48.5,0.652,6.1
Regions,,,,,,,,,,,,,
,Arab States,0.704,0.534,24.1,0.877,—,0.523,—,0.074,15.1,48.9,0.658,6.5
,East Asia and the Pacific,0.766,0.640,16.4,0.962,—,0.340,—,0.022,5.1,42.4,0.683,10.8
,Europe and Central Asia,0.802,0.708,11.7,0.963,—,0.224,—,0.004,1.2,37.1,0.743,7.4
,Latin America and the Caribbean,0.763,0.605,20.7,0.991,—,0.386,—,0.024,5.6,43.1,0.716,6.2
,South Asia,0.641,0.443,30.9,0.855,—,0.478,—,0.091,20.5,44.6,0.622,3.0
,Sub-Saharan Africa,0.549,0.363,33.9,0.915,—,0.565,—,0.262,49.5,52.9,0.539,1.8
Least developed countries,,0.542,0.363,33.0,0.890,—,0.556,—,0.268,51.7,52.0,0.533,1.7
Small island developing states,,,,,,,,,,,,,
"Organisation for Economic Co-operation
and Development",,0.906,0.803,11.4,0.984,—,0.194,—,0.017,4.2,40.5,0.787,13.1
World,,0.739,0.576,22.1,0.951,—,0.462,—,0.088,18.2,48.5,0.685,7.3
